freq_Hz,V_V,P_mW
20.0,0.5326767242555352,0.02837444925636075
20.545136284071017,0.5530751586040206,0.030589213106486247
21.090272568142037,0.5740959242172697,0.03295861302028812
21.635408852213054,0.5957810259963098,0.035495503093721556
22.18054513628407,0.6181758674735816,0.03821414031267152
22.725681420355087,0.6413296176289913,0.041130367844814816
23.270817704426108,0.6652956253423904,0.04426182690997223
23.815953988497125,0.6901318888898087,0.04762820240626153
24.36109027256814,0.7159015892313072,0.051251508546391135
24.90622655663916,0.7426736974575971,0.05515642208953385
25.45136284071018,0.7705236687264496,0.05937067240676674
25.996499124781195,0.7995342374115302,0.06392549967932369
26.541635408852216,0.8297963311114348,0.06885619511259979
27.086771692923232,0.8614101247606062,0.07420274030400831
27.63190797699425,0.8944862605201507,0.08001056702593227
28.177044261065266,0.9291472646299493,0.08633146393693172
28.722180545136283,0.9655291992657796,0.0932246634634818
29.267316829207303,1.0037835960483197,0.10075815076956962
29.81245311327832,1.0440797286978132,0.10901024798776993
30.357589397349336,1.0866072960854525,0.11807154159061385
30.902725681420357,1.1315796044904256,0.1280472401298708
31.447861965491374,1.1792373604274744,0.1390600752227957
31.99299824956239,1.2298532145873922,0.15125389294309421
32.53813453363341,1.2837372354515442,0.16479812896847734
33.08327081770443,1.3412435410618273,0.17989342364400696
33.628407101775444,1.402778383508081,0.19677871932375446
34.173543385846465,1.4688100689186498,0.2157403018556809
34.71867966991748,1.5398812145964775,0.2371234155067123
35.2638159539885,1.616624006607976,0.2613473178741225
35.80895223805952,1.6997793432598647,0.2889249815772936
36.35408852213053,1.7902210583905669,0.32048914379050414
36.89922480620155,1.8889868517178887,0.35682713259630616
37.444361090272565,1.9973181694630233,0.3989279870067123
37.989497374343586,2.1167121652406524,0.4480470390477773
38.534633658414606,2.248990164855585,0.5057956761617151
39.079769942485626,2.3963889721804934,0.5742680105988279
39.62490622655664,2.561684224493943,0.6562226066021134
40.17004251062765,2.7483593766993533,0.7553479263491257
40.71517879469867,2.960840643346175,0.8766577315290592
41.26031507876969,3.204828785873186,1.02709275467614
41.805451362840714,3.487775316414588,1.2164576657790878
42.350587646911734,3.819577147710111,1.4589169587309307
42.89572393098275,4.213605238343943,1.775446910459952
43.44086021505376,4.688245121136557,2.1979642315860737
43.98599649912478,5.269208275164975,2.776455584706706
44.5311327831958,5.9929249998058065,3.591515005329744
45.07626906726682,6.91110006309972,4.776330408217697
45.621405351337835,8.094924826048286,6.552780793937288
46.166541635408855,9.630308078886767,9.274283369427172
46.71167791947987,11.569191169995715,13.384618432790683
47.25681420355089,13.737859664288381,18.87287881556817
47.80195048762191,15.360262350854613,23.593765948708178
48.34708677169293,15.309391207953398,23.43774591581608
48.89222305576394,13.657444018351477,18.652577711440447
49.437359339834956,11.545533089582317,13.329933432264022
49.982495623905976,9.680783083875088,9.371756111704201
50.527631907976996,8.206165142520629,6.7341146346320615
51.07276819204802,7.066662893399929,4.993772444895544
51.61790447611903,6.180118088913577,3.8193859592916817
52.16304076019005,5.479197096423854,3.0021600821459593
52.70817704426106,4.9150018406272045,2.415724309336882
53.253313328332084,4.452987018277021,1.9829093384943677
53.798449612403104,4.068689322292792,1.6554232801339375
54.34358589647412,3.744556689456384,1.4021704800552557
54.88872218054514,3.4677840597947034,1.2025526285366235
55.43385846461616,3.2288662292476626,1.0425577126376018
55.97899474868717,3.0206281730625286,0.9124194559899069
56.52413103275819,2.8375679900238477,0.8051792098007979
57.06926731682921,2.6754050385892403,0.7157792120508695
57.614403600900225,2.530764187866923,0.6404767374589727
58.159539884971245,2.400951635584091,0.5764568756413923
58.70467616904226,2.2837932708451487,0.5215711703957582
59.24981245311328,2.1775164203393276,0.47415777608473975
59.7949487371843,2.0806621414209236,0.4329154946742304
60.34008502125531,1.9920193342300927,0.39681410279465007
60.88522130532633,1.9105746516882087,0.365029549967352
61.43035758939735,1.8354739948520635,0.3368964785778193
61.975493873468366,1.7659926068371763,0.3118729887403566
62.52063015753939,1.7015116206200558,0.28951417951050873
63.06576644161041,1.6414995021952734,0.26945206157073304
63.61090272568142,1.5854972437011943,0.25138015097840843
64.15603900975245,1.533106455780912,0.23504154047571094
64.70117529382347,1.4839797209614949,0.22021958122249563
65.24631157789447,1.437812724744121,0.2067305431436114
65.7914478619655,1.3943377951528824,0.19441778869918022
66.3365841460365,1.3533185662644727,0.18314711417961274
66.88172043010752,1.314545544818799,0.17280299894029533
67.42685671417854,1.2778324070975795,0.1632855660628794
67.97199299824956,1.243012889921552,0.15450810445111285
68.51712928232058,1.209938167784416,0.14639503698615106
69.0622655663916,1.178474629938437,0.13888024534085358
69.60740185046262,1.1485019882297078,0.1319056816967592
70.15253813453364,1.1199116597999073,0.1254202125755783
70.69767441860466,1.0926053792815353,0.11937865148349477
71.24281070267567,1.0664940034564176,0.11374094594084973
71.78794698674669,1.0414964780070421,0.10847149137010732
72.33308327081771,1.017538941335152,0.10353854971334622
72.87821955488872,0.9945539447336267,0.0989137548985218
73.42335583895974,0.972479771692823,0.09457169063517251
73.96849212303076,0.9512598419692335,0.09048952869433309
74.51362840710178,0.9308421883731216,0.08664671796552623
75.0587646911728,0.9111789961453074,0.08302471630163702
75.60390097524382,0.8922261963719409,0.0796067585492341
76.14903725931484,0.8739431061936974,0.07637765528634882
76.69417354338586,0.8562921096530678,0.07332361770541015
77.23930982745686,0.8392383739306717,0.07043210482777977
77.78444611152788,0.8227495964813303,0.06769168985101916
78.3295823955989,0.8067957792190386,0.06509194293656559
78.87471867966991,0.7913490264381824,0.0626233281644659
79.41985496374093,0.7763833636134778,0.060277112729577774
79.96499124781195,0.7618745746071692,0.058045286743285504
80.51012753188297,0.7478000551404337,0.05592049224680358
81.05526381595399,0.7341386806661231,0.05389596024501958
81.60040010002501,0.7208706870196582,0.05196545474041938
82.14553638409603,0.7079775624304427,0.050123222890495145
82.69067266816705,0.695441949652947,0.0483639505337092
83.23580895223806,0.6832475571289753,0.046682722432271236
83.78094523630908,0.671379078224291,0.045074986667729876
84.3260815203801,0.659822117696812,0.04353652270019056
84.87121780445112,0.6485631246525583,0.04206341266590899
85.41635408852213,0.637589331331627,0.04065201554279114
85.96149037259315,0.62688869714155,0.03929894386038301
86.50662665666417,0.6164498574209332,0.03800104267142887
87.05176294073519,0.606262076473664,0.036755370537015886
87.59689922480621,0.5963152044643165,0.035559182307531974
88.14203550887723,0.5865996378095717,0.03440991350783207
88.68717179294823,0.5771062827394117,0.03330516615773017
89.23230807701925,0.5678265217361447,0.03224269587869684
89.77744436109028,0.5587521825896475,0.03122040015486948
90.3225806451613,0.549875509834009,0.030236307631521138
90.86771692923232,0.5411891383545389,0.02928856834729282
91.41285321330332,0.5326860689751988,0.02837544480802502
91.95798949737434,0.5243596458552657,0.027495303820145974
92.50312578144536,0.5162035355407318,0.02664660901047516
93.04826206551638,0.5082117075308361,0.02582791396714081
93.5933983495874,0.5003784162334207,0.025037855943226644
94.13853463365842,0.49269818419468514,0.024275150070873983
94.68367091772943,0.48516578649955905,0.02353858403897357
95.22880720180045,0.47777623624846144,0.022827013192374564
95.77394348587147,0.47052477102477347,0.02213935601479155
96.31907976994249,0.46340684027506274,0.021474589961371755
96.86421605401351,0.4564180935310228,0.02083174761024935
97.40935233808452,0.44955436940833826,0.02020991310541287
97.95448862215554,0.44281168532332893,0.01960821886588869
98.49962490622656,0.43618622787330047,0.01902584253863388
99.04476119029758,0.4296743438311525,0.018462004174673148
99.5898974743686,0.4232725317089426,0.017915963609929784
100.13503375843962,0.41697743384889474,0.017387018033920943
100.68017004251062,0.410785829003758,0.016874499731030463
101.22530632658165,0.4046946253715344,0.016377773980460655
101.77044261065267,0.3987008540524292,0.01589623710221365
102.31557889472369,0.3928016628984384,0.015429314637577837
102.8607151787947,0.3869943107283419,0.014976459653610445
103.40585146286573,0.3812761618830074,0.01453715116202372
103.95098774693673,0.3756446810978576,0.01411089264371111
104.49612403100775,0.37009742867113016,0.013697210670898234
105.04126031507877,0.3646320559082051,0.013295653619584439
105.5863965991498,0.3592463008237465,0.012905790465554571
106.13153288322081,0.35393798408477806,0.012527209657799665
106.67666916729182,0.34870500517906955,0.012159518063693487
107.22180545136284,0.34354533879434757,0.011802339980732306
107.76694173543386,0.33845703139490413,0.011455316210065115
108.31207801950488,0.3334381979831502,0.011118103187425048
108.8572143035759,0.3284870190345366,0.010790372167419604
109.40235058764692,0.32360173759510563,0.010471808457457155
109.94748687171793,0.3187806565316694,0.01016211069787622
110.49262315578895,0.3140221359253247,0.009860990185110313
111.03775943985997,0.30932459059964723,0.009568170234963936
111.58289572393099,0.3046864877755005,0.009283385583297018
112.12803200800201,0.3001063448449446,0.009006381821619279
112.67316829207302,0.29558272725723667,0.0087369148652826
113.21830457614404,0.2911142465103788,0.008474750452130562
113.76344086021506,0.2866995582421059,0.008219663669621869
114.30857714428608,0.28233736041460467,0.007971438508588637
114.8537134283571,0.2780263915876312,0.007729867441923885
115.39884971242812,0.27376542927503134,0.007494751026614219
115.94398599649912,0.2695532883799996,0.0072658975276471225
116.48912228057014,0.2653888197046964,0.007043122562425186
117.03425856464116,0.26127090853013274,0.006826248764416098
117.57939484871218,0.25719847326247763,0.00661510546485494
118.1245311327832,0.25317046414218813,0.006409528391397097
118.66966741685421,0.24918586201258705,0.006209359382695609
119.21480370092523,0.24524367714471015,0.006014446117945883
119.75993998499625,0.24134294811545082,0.00582464186050572
120.30507626906727,0.23748274073620182,0.005639805214757803
120.85021255313829,0.23366214702936497,0.005459799895437259
121.39534883720931,0.2298802842502569,0.005284494508697891
121.94048512128032,0.22613629395208518,0.005113762344238387
122.48562140535134,0.22242934109180876,0.004947481177853622
123.03075768942236,0.21875861317482093,0.004785533083817095
123.57589397349338,0.21512331943651947,0.0046278042565386784
124.1210302575644,0.21152269005893584,0.004474184840976864
124.66616654163542,0.207955975420708,0.004324568771317812
125.21130282570643,0.20442244537877227,0.004178853617463713
125.75643910977745,0.20092138858025338,0.004036940438901717
126.30157539384847,0.19745211180311392,0.0038987336455509397
126.84671167791949,0.19401393932420824,0.0037641408652097563
127.3918479619905,0.1906062123134664,0.0036330728172486227
127.93698424606151,0.18722828825300816,0.0035054431922151505
128.48212053013253,0.1838795403800559,0.0033811685370380624
129.02725681420355,0.18055935715258434,0.00326016814553545
129.57239309827457,0.17726714173670732,0.0031423639539501884
130.1175293823456,0.17400231151486528,0.003027680441251622
130.66266566641661,0.17076429761393278,0.0029160445339579803
131.20780195048764,0.16755254445242557,0.0028073855152482043
131.75293823455866,0.16436650930603836,0.002701634938145199
132.29807451862968,0.16120566189080038,0.002598726542565104
132.8432108027007,0.15806948396318685,0.0024985961760388186
133.38834708677172,0.15495746893657686,0.0024011817179230184
133.9334833708427,0.15186912151350077,0.002306423006928246
134.47861965491373,0.14880395733316962,0.0022142617718011763
135.02375593898475,0.1457615026338372,0.002124641565007413
135.56889222305577,0.14274129392959412,0.0020375076992694783
136.1140285071268,0.1397428777012539,0.0019528071868227606
136.6591647911978,0.1367658101010513,0.0018704886812596824
137.2043010752688,0.133809656670935,0.00179050242183935
137.74943735933982,0.1308739920743087,0.0017128001801466214
138.29457364341084,0.12795839984115018,0.0016373352089907663
138.83970992748186,0.1250624721265217,0.0015640621934397015
139.38484621155288,0.1221858094825845,0.0014929372038914434
139.9299824956239,0.11932802064433289,0.0014239176510894335
140.47511877969492,0.11648872232939557,0.0013569622429935022
141.02025506376594,0.11366753905239141,0.0012920309434226928
141.56539134783696,0.1108641029545009,0.0012290849323906175
142.11052763190798,0.10807805364911473,0.0011680865680580921
142.655663915979,0.10530903808466296,0.0011089993502316994
143.20080020005003,0.102556710426015,0.0010517878853405493
143.74593648412105,0.0998207319561936,0.0009964178528270255
144.29107276819207,0.09710077100056932,0.0009428559728905005
144.8362090522631,0.09439650287622718,0.0008910699755261566
145.3813453363341,0.091707609869843,0.0008410285708039325
145.9264816204051,0.08903378124820824,0.0007927014203353797
146.47161790447612,0.08637471330654573,0.0007460591098787965
147.01675418854714,0.08373010946102918,0.000701073123035593
147.56189047261816,0.08109968039351298,0.0006577158159929953
148.10702675668918,0.07848314425853503,0.0006159603932706021
148.6521630407602,0.07588022696528132,0.0005757808844302606
149.19729932483122,0.0732906625506174,0.0005371521217108473
149.74243560890224,0.07071419366374009,0.0005000497185512937
150.28757189297326,0.06815057218887641,0.0004644500489671254
150.83270817704425,0.06559956004024539,0.000430330227747376
151.37784446111527,0.06306093017395302,0.00039766809144041763
151.9229807451863,0.060534467875645676,0.00036644218009875793
152.46811702925731,0.05801997240212308,0.0003366317197543124
153.01325331332833,0.055517259081934466,0.0003082166055970635
153.55838959739935,0.05302616201756546,0.00028117738583131023
154.10352588147038,0.05054653758518104,0.00025549524618501194
154.6486621655414,0.04807826900470306,0.00023115199504885898
155.19379844961242,0.04562127236530296,0.00020813004922291554
155.73893473368344,0.04317550465827926,0.0001864124202497094
156.28407101775446,0.040740974621836325,0.00016598270131371114
156.82920730182545,0.03831775759202402,0.0001468250546881115
157.37434358589647,0.03590601616870942,0.0001289241997107623
157.9194798699675,0.033506029497996484,0.00011226540127206104
158.4646161540385,0.031118235618101717,9.683445879836941e-05
159.00975243810953,0.02874329412496779,8.261769571544075e-05
159.55488872218055,0.026382181368698094,6.960194937708809e-05
160.10002500625157,0.024036339456139075,5.7774561445074805e-05
160.6451612903226,0.021707917612464468,4.712336870695452e-05
161.1902975743936,0.019400178947438805,3.7636694319264765e-05
161.73543385846463,0.01711821820872455,2.930333946415086e-05
162.28057014253565,0.014870297713274205,2.2112575408140804e-05
162.82570642660664,0.012670491684383792,1.605413595240388e-05
163.37084271067766,0.010544292420268785,1.1118210264413774e-05
163.91597899474868,0.008541332496470662,7.295436081526577e-06
164.4611152788197,0.006765274035475681,4.5768932775081395e-06
165.00625156289072,0.005435161252072784,2.9540977836033377e-06
165.55138784696175,0.004918328838373565,2.418995856237705e-06
166.09652413103277,0.005444225090814758,2.963958683945697e-06
166.6416604151038,0.006768882719180902,4.581777326602584e-06
167.1867966991748,0.008523882906576059,7.265657980501955e-06
167.73193298324583,0.01049248186240021,1.1009217563279738e-05
168.27706926731685,0.012572382277485337,1.5806479613122737e-05
168.82220555138784,0.014714574576634987,2.1651870497135265e-05
169.36734183545886,0.016893849746033883,2.8540215924156906e-05
169.91247811952988,0.019096266063743695,3.646673775772891e-05
170.4576144036009,0.02131362266845274,4.5427051125318243e-05
171.00275068767192,0.023540849988967032,5.5417161820304926e-05
171.54788697174294,0.02577468990959975,6.643346399360232e-05
172.09302325581396,0.02801298594084405,7.847273813219262e-05
172.63815953988498,0.030254280576840088,9.153214932221634e-05
173.183295823956,0.03249757618571334,0.00010560924579462429
173.72843210802702,0.03474218728747199,0.00012070195775177805
174.27356839209804,0.03698764610971334,0.00013680859647373922
174.81870467616903,0.039233640374473466,0.00015392785370335147
175.36384096024005,0.04147997122824356,0.00017205880130959135
175.90897724431107,0.043726524127694275,0.00019120089122898296
176.4541135283821,0.04597324827389096,0.0002113539556852818
176.99924981245312,0.04822014181729037,0.00023251820768795955
177.54438609652414,0.05046724103915092,0.00025469424181037584
