length_mm,f_sc_Hz,R_opt_ohm,P_max_mW
60.0,132.7934012457691,2603.3053696094225,6.010726505285802
62.56410256410257,122.13174345964343,2743.8234558085023,6.815070365887557
65.12820512820512,112.70437532725734,2891.926258260833,7.6876852542762775
67.6923076923077,104.32787360269359,3048.0231756580592,8.630956389399167
70.25641025641026,96.85166336263694,3048.0231756580592,9.650077016122655
72.82051282051282,90.15120361303974,3212.5457047220125,10.746251743024
75.38461538461539,84.12276688663674,3385.948632985606,11.920670454719966
77.94871794871794,78.67940052169897,3385.948632985606,13.179642655253549
80.51282051282051,73.74777352644462,3568.711295956224,14.524004206341985
83.07692307692308,69.26569385967586,3568.711295956224,15.95408229946223
85.64102564102564,65.18013803482854,3761.338902136763,17.479992649346844
88.2051282051282,61.4456756913647,3964.363929567069,19.095504479659912
90.76923076923077,58.023201176332904,3964.363929567069,20.811593732995895
93.33333333333333,54.878905616873965,4178.34759774619,22.624346318168445
95.8974358974359,51.98343875013106,4178.34759774619,24.541753762288014
98.46153846153847,49.311221507523136,4403.881419004319,26.562492331434036
101.02564102564102,46.83987914281054,4403.881419004319,28.693300105495553
103.58974358974359,44.54977133745057,4641.588833612777,30.932333829734638
106.15384615384616,42.42360077605855,4641.588833612777,33.28882118663297
108.71794871794872,40.446085565444406,4892.126933152033,35.75591192385914
111.28205128205128,38.60368386785307,4892.126933152033,38.350535018328394
113.84615384615385,36.88436144901658,4892.126933152033,41.05702926168103
116.41025641025641,35.277394664234386,5156.188276901594,43.900147470198775
118.97435897435896,33.773202839873164,5156.188276901594,46.86294252540678
121.53846153846153,32.36320514257567,5434.502806272786,49.95870147037777
124.10256410256409,31.039697931379912,5434.502806272786,53.19066905636875
126.66666666666664,29.79574930999252,5434.502806272786,56.547174342228566
129.23076923076923,28.625108176702778,5727.839862576538,60.06052221859383
131.7948717948718,27.522125537908728,5727.839862576538,63.705026293233686
134.35897435897436,26.4816862311831,6037.010313703756,67.49179095094077
136.92307692307693,25.499149513295645,6037.010313703756,71.43745694514945
139.48717948717947,24.570297221741644,6037.010313703756,75.52095670830073
142.05128205128204,23.69128842619262,6362.868795597115,79.76256889307282
144.6153846153846,22.858619657629557,6362.868795597115,84.1665906187817
147.17948717948718,22.069089944679842,6362.868795597115,88.71605140145533
149.74358974358975,21.319770004378547,6706.316074710319,93.43487356976384
152.30769230769232,20.607975032630833,6706.316074710319,98.32451048808592
154.87179487179486,19.93124062161017,6706.316074710319,103.36737502380497
157.43589743589743,19.28730140005022,7068.3015379853405,108.58395550971127
160.0,18.674072050186275,7068.3015379853405,113.98689568409004
