sub_fraction,hs_mm,hp_mm,f_sc_Hz,R_opt_ohm,P_max_mW
0.2,0.18000000000000002,0.7200000000000001,46.38277123129349,23682.59149044462,28.85890604553033
0.21666666666666667,0.195,0.705,46.54430929158506,21319.01441719964,28.87021107989081
0.23333333333333334,0.21000000000000002,0.69,46.687523947051815,18208.49170383826,28.856743513091214
0.25,0.225,0.675,46.81402803011429,16391.242373378453,28.82522577063338
0.26666666666666666,0.24,0.66,46.92536853693851,14755.358703664753,28.782121716051083
0.2833333333333333,0.25499999999999995,0.6449999999999999,47.02303396275111,13282.739984823986,28.733075486664895
0.3,0.27,0.6299999999999999,47.10846069970734,11957.091999438964,28.680178169946632
0.31666666666666665,0.285,0.615,47.1830386182574,10763.74673044854,28.623131945527692
0.3333333333333333,0.3,0.6000000000000001,47.24811593150064,10212.5082432593,28.574434438609334
0.35,0.31499999999999995,0.585,47.30500342468064,9193.276443655257,28.51999059968221
0.36666666666666664,0.32999999999999996,0.57,47.354978117918186,8722.465681750427,28.468918396246686
0.3833333333333333,0.345,0.555,47.39928641886054,7851.943555155049,28.414084360739917
0.39999999999999997,0.36,0.5400000000000001,47.43914681265187,7449.825817230663,28.365988961048842
0.41666666666666663,0.37499999999999994,0.525,47.475752129118234,7068.3015379853405,28.31388217440126
0.4333333333333333,0.38999999999999996,0.5099999999999999,47.51027142101185,6706.316074710319,28.259344279116906
0.44999999999999996,0.4049999999999999,0.495,47.543851482342674,6037.010313703756,28.20721953605289
0.4666666666666666,0.42,0.4800000000000001,47.57761803205374,5727.839862576538,28.15514788709889
0.4833333333333333,0.43499999999999994,0.465,47.612676585421056,5434.502806272786,28.100452513434565
0.49999999999999994,0.44999999999999996,0.45,47.65011303345993,5156.188276901594,28.043071178514456
0.5166666666666666,0.4649999999999999,0.43500000000000005,47.6909939491937,4892.126933152033,27.982685793889715
0.5333333333333332,0.4799999999999999,0.4200000000000001,47.7363666387998,4641.588833612777,27.918771941890157
0.5499999999999999,0.4949999999999999,0.405,47.78725895531504,4403.881419004319,27.850639051048237
0.5666666666666667,0.5099999999999999,0.39,47.844678892679475,4178.34759774619,27.77746334759563
0.5833333333333333,0.525,0.37500000000000006,47.909613978357086,4178.34759774619,27.70049705241484
0.5999999999999999,0.5399999999999999,0.36000000000000015,47.983030483520444,3964.363929567069,27.621279734564922
0.6166666666666666,0.5549999999999999,0.34500000000000003,48.06587247075007,3761.338902136763,27.53512235847754
0.6333333333333333,0.57,0.33,48.15906070030597,3568.711295956224,27.44083774711373
0.6499999999999999,0.5849999999999999,0.31500000000000006,48.26349141720037,3385.948632985606,27.337208389680487
0.6666666666666665,0.5999999999999999,0.30000000000000016,48.38003504245903,3385.948632985606,27.232595597049958
0.6833333333333332,0.6149999999999999,0.2850000000000001,48.509534793026944,3212.5457047220125,27.118621414643258
0.7,0.6299999999999999,0.2700000000000001,48.65280525567432,3048.0231756580592,26.992398153990617
0.7166666666666666,0.6449999999999998,0.25500000000000006,48.810630940921044,3048.0231756580592,26.863561826040943
0.7333333333333332,0.6599999999999999,0.24000000000000013,48.98376484335222,2891.926258260833,26.723475705647154
0.7499999999999998,0.6749999999999998,0.22500000000000017,49.17292703469135,2891.926258260833,26.57166669445706
0.7666666666666666,0.69,0.21000000000000005,49.378803315582225,2743.8234558085023,26.415162733476283
0.7833333333333332,0.7049999999999998,0.19500000000000012,49.60204395117626,2603.3053696094225,26.240873274601686
0.7999999999999998,0.7199999999999999,0.18000000000000016,49.84326251431333,2603.3053696094225,26.064086533107975
0.8166666666666664,0.7349999999999998,0.1650000000000002,50.10303485832239,2469.9835673065436,25.866767397547438
0.8333333333333333,0.7499999999999999,0.15000000000000008,50.3818982392745,2469.9835673065436,25.662614812203593
0.85,0.7649999999999999,0.13500000000000004,50.68035060493068,2343.4895091387884,25.43447035080178
