Omega,P_up_norm,P_down_norm,P_linear_norm,xpp_up,xpp_down
0.3,0.0006830807024429251,0.0017106216719843493,0.0005371537594107564,0.308132244188714,0.6873013930871761
0.3164556962025316,0.00197980070949918,0.002058420626281658,0.0005547634873954433,0.5508484931372818,0.5576764904036202
0.3329113924050633,0.0007258148851314923,0.000984892891423887,0.0005678606534603201,0.3037124374209076,0.47943624818626585
0.3493670886075949,0.000698488052972794,0.060713685099475695,0.0005822574049646983,0.2733022391426606,3.406945231939753
0.3658227848101266,0.0007299383254773794,0.07576214933662023,0.0005971170169995364,0.28004855784007854,3.318177712257091
0.3822784810126582,0.0007788415424763719,0.07974967648892575,0.0006232333820080164,0.2874128294755032,3.387011930457145
0.3987341772151899,0.0008683154901745829,0.06099931613387798,0.0006494721003846897,0.2950845909048574,3.4761345528899055
0.4151898734177215,0.0009744181474680922,0.056454877691126566,0.0006781887232854622,0.30418859978512147,3.3751250555020644
0.43164556962025313,0.001259916500560828,0.07738241304960358,0.0006976610141202526,0.3576741650704569,3.540701359306502
0.4481012658227848,0.005479003674210747,0.005462611518001381,0.0007162771009193131,0.8853468624751499,0.8764845244949093
0.4645569620253165,0.004035901948305288,0.004035280110561841,0.0007381906135690891,0.7740343668223264,0.7954603402073025
0.4810126582278481,0.0025326899945326805,0.0027441370607353232,0.0007680790851413385,0.6998842406562253,0.6357382561909857
0.49746835443037973,0.001594273819559391,0.0015426204521990893,0.0008112971993820942,0.494288352423652,0.4952689817661624
0.5139240506329114,0.0011298547606248678,0.0013033896614380136,0.0008522872657131346,0.385009842094736,0.51423698129419
0.530379746835443,0.0009901259134569697,0.08419732411954071,0.0009022927493272133,0.36424719672549577,3.3108592885549966
0.5468354430379747,0.0862252548085065,0.0857692640266492,0.00094282519132121,3.39576331606159,3.394850673603686
0.5632911392405063,0.0012643527449377214,0.08857970838529887,0.0010014477900244052,0.4949234649311498,3.3935013430547416
0.579746835443038,0.09094197915349457,0.0916962063378687,0.00105913092714421,3.5026533963375233,3.4255738522938373
0.5962025316455697,0.0946056856251665,0.09504381781797308,0.0011360645303617424,3.435550611967748,3.404300940992382
0.6126582278481012,0.09772117409248954,0.0975161144232167,0.0012109468679560003,3.453410863821475,3.41517552497742
0.6291139240506329,0.09890367854662024,0.09911813213624446,0.001289910535679123,3.459673938520579,3.4438594618190588
0.6455696202531646,0.10033429959485739,0.10056598324163445,0.0013816195238388173,3.471516921521941,3.4887534435098977
0.6620253164556962,0.10275010776316462,0.10281436560431706,0.001479397198587158,3.500792629986928,3.528021727045731
0.6784810126582279,0.10592777259412332,0.1058751121998341,0.001628121828100605,3.547265463494174,3.5724188672668804
0.6949367088607594,0.10941320777445175,0.10939493504870103,0.001776855519952284,3.5885023875291213,3.6264525961355796
0.7113924050632912,0.1127199079771812,0.11263462009630906,0.0019919027520506247,3.630906944210483,3.660542284451431
0.7278481012658228,0.11511950824439496,0.11457805580850557,0.002186261447386737,3.6745172113532902,3.872892028094057
0.7443037974683544,0.11762956618795012,0.11747846139758408,0.0024621725399554964,3.7192586092401685,3.684253202449961
0.7607594936708861,0.12074433525368816,0.06435889282340598,0.0027501944119683857,3.77603673078556,3.2888934873324205
0.7772151898734178,0.12224656246681716,0.1238445755360625,0.0031511316968389066,3.8619294807494002,3.7678014534001107
0.7936708860759494,0.1261029168613408,0.12662601261474588,0.0036525524499346406,3.81889220817617,3.8203015078733973
0.8101265822784811,0.1294429814145408,0.06066618345243764,0.004250747240374923,3.836443202906674,3.115068790601951
0.8265822784810126,0.13169271225457901,0.060409050393323976,0.005120715077381266,3.8572445956559447,2.9871691464935894
0.8430379746835444,0.13410650102749977,0.03694610932177605,0.006080424725010284,3.8759119752464617,3.011853598662034
0.8594936708860759,0.13752862428764198,0.0678984293778767,0.007787499000488241,3.9129782065048344,3.238708160909461
