tip_mass_g,f_sc_Hz,R_opt_ohm,P_max_mW
0.0,47.80562444847686,4403.881419004319,27.828914729893025
0.5,44.58292101830139,4892.126933152033,31.006454711093298
1.0,41.92002136599339,5434.502806272786,34.51521878827659
1.5,39.67490087762278,6037.010313703756,38.2845297528694
2.0,37.75039566955711,6362.868795597115,42.28149733479865
2.5,36.077820210590005,6706.316074710319,46.47605945808414
3.0,34.60721595558989,7068.3015379853405,50.855561893433716
3.5,33.3013359059684,7449.825817230663,55.40844167463864
4.0,32.13180733924778,7851.943555155049,60.12352223392447
4.500000000000001,31.076608405763587,8275.766320702956,64.98958556736616
5.0,30.118362848787214,8722.465681750427,69.99510656099788
5.5,29.24315916804808,8722.465681750427,75.1619648157432
6.0,28.439714922995265,9193.276443655257,80.45538808632385
6.500000000000001,27.69877362917999,9193.276443655257,85.8772666386002
7.0,27.012661796645915,9689.500062613693,91.44089246032443
7.5,26.374958386002024,9689.500062613693,97.11201834733963
8.0,25.780244580794125,10212.5082432593,102.92742259960944
8.5,25.223911867427745,10212.5082432593,108.84299416426359
9.000000000000002,24.702013068216235,10763.74673044854,114.8905371603392
9.5,24.211145442761723,10763.74673044854,121.04633745582018
10.0,23.748358027475657,11344.739305714942,127.30486306901717
10.5,23.31107750379772,11344.739305714942,133.6969882457135
11.0,22.897048379463882,11344.739305714942,140.17129022184548
11.5,22.50428433438692,11957.091999438964,146.7683044675133
12.0,22.131028353776728,11957.091999438964,153.47409044780645
12.5,21.775719836020368,11957.091999438964,160.25873410350493
13.000000000000002,21.436967279797656,12602.497530377337,167.16552360078632
13.5,21.113525467409747,12602.497530377337,174.17746907589893
14.0,20.804276296028178,12602.497530377337,181.26565183967563
14.5,20.50821258815604,13282.739984823986,188.45062084442688
15.0,20.224424349725737,13282.739984823986,195.76224322120103
15.5,19.95208705075865,13282.739984823986,203.14802459427253
16.0,19.69045158631149,13282.739984823986,210.60625568159182
16.5,19.438835640576166,13999.699748337049,218.18184985469895
17.0,19.196616228302428,13999.699748337049,225.85979461196322
17.5,18.963223228598565,13999.699748337049,233.60870270498393
18.000000000000004,18.738133758977284,13999.699748337049,241.42708854401718
18.5,18.520867263613837,14755.358703664753,249.3521594884028
19.0,18.310981211226885,14755.358703664753,257.38686505312666
19.5,18.10806731514554,14755.358703664753,265.4900055320699
20.0,17.91174820244535,14755.358703664753,273.6602717034368
